wielkosc tablicy;looking_Value;result;czas;liczba operacji;;;;
2000000;5,95197E+17;1000000;12788;1000001;;;;
2100000;-5,51833E+17;1050000;12897;1050001;;;;
2200000;-8,12796E+18;1100000;12562;1100001;;;;
2300000;8,73615E+17;1150000;13375;1150001;;;;
2400000;-1,87486E+18;1200000;14036;1200001;;;Etykiety wierszy;Suma z czas
2500000;-5,62629E+18;1250000;14394;1250001;;;273872;3181
2600000;-8,35036E+18;1300000;16577;1300001;;;1000001;12788
2700000;4,02009E+18;1350000;15997;1350001;;;1050001;12897
2800000;-4,94167E+18;1400000;16794;1400001;;;1100001;12562
2900000;3,15604E+18;1450000;17679;1450001;;;1150001;13375
3000000;2,30558E+18;1500000;19714;1500001;;;1200001;14036
3100000;-3,18027E+18;1550000;18195;1550001;;;1250001;14394
3200000;2,70501E+18;1600000;18974;1600001;;;1300001;16577
3300000;5,1699E+18;1650000;22339;1650001;;;1350001;15997
3400000;5,61015E+18;1700000;20557;1700001;;;1400001;16794
3500000;-7,80368E+18;1750000;22436;1750001;;;1450001;17679
3600000;8,57315E+18;1800000;20710;1800001;;;1500001;19714
3700000;3,11945E+18;1850000;21200;1850001;;;1550001;18195
3800000;-3,50462E+18;1900000;22442;1900001;;;1600001;18974
3900000;6,55546E+18;1950000;23754;1950001;;;1650001;22339
4000000;2,73814E+18;2000000;24271;2000001;;;1700001;20557
4100000;4,49497E+18;2050000;25809;2050001;;;1750001;22436
4200000;-5,00966E+18;2100000;25787;2100001;;;1800001;20710
4300000;-8,17651E+18;2150000;25968;2150001;;;1850001;21200
4400000;6,45999E+18;2200000;29225;2200001;;;1900001;22442
4500000;6,75348E+18;2250000;28310;2250001;;;1950001;23754
4600000;3,18352E+18;2300000;27841;2300001;;;2000001;24271
4700000;4,34443E+18;2350000;27221;2350001;;;2050001;25809
4800000;-8,63562E+18;2400000;27559;2400001;;;2100001;25787
4900000;-9,20576E+18;2450000;31149;2450001;;;2150001;25968
5000000;5,13555E+18;2500000;28878;2500001;;;2200001;29225
5100000;7,79796E+18;2550000;30136;2550001;;;2250001;28310
5200000;-3,75925E+18;2600000;31743;2600001;;;2300001;27841
5300000;4,58239E+18;2650000;32977;2650001;;;2309162;28827
5400000;2,54035E+17;2700000;31688;2700001;;;2350001;27221
5500000;-3,52657E+18;2750000;32993;2750001;;;2400001;27559
5600000;-3,93085E+18;2800000;33300;2800001;;;2450001;31149
5700000;1,16881E+18;2850000;38703;2850001;;;2500001;28878
5800000;-5,61604E+18;2900000;34782;2900001;;;2550001;30136
5900000;-5,0707E+18;2950000;35783;2950001;;;2600001;31743
6000000;2,43861E+18;3000000;43159;3000001;;;2650001;32977
6100000;2,52161E+18;3050000;36110;3050001;;;2700001;31688
6200000;-3,25802E+18;3100000;36130;3100001;;;2750001;32993
6300000;-3,56214E+18;3150000;36596;3150001;;;2800001;33300
6400000;-1,65383E+18;3200000;37717;3200001;;;2850001;38703
6500000;-6,06057E+18;3250000;38119;3250001;;;2900001;34782
6600000;6,67055E+18;3300000;38500;3300001;;;2950001;35783
6700000;-8,04818E+18;3350000;40675;3350001;;;3000001;43159
6800000;8,34783E+18;3400000;42488;3400001;;;3050001;36110
6900000;-6,61817E+18;3450000;41488;3450001;;;3100001;36130
7000000;8,95183E+18;3500000;44271;3500001;;;3150001;36596
7100000;4,10121E+18;3550000;41410;3550001;;;3200001;37717
7200000;-8,07787E+18;3600000;43908;3600001;;;3249599;39690
7300000;-2,43308E+18;3650000;43895;3650001;;;3250001;38119
7400000;-1,61683E+18;3700000;44861;3700001;;;3300001;38500
7500000;4,92361E+18;3750000;45112;3750001;;;3350001;40675
7600000;6,10079E+17;3800000;44544;3800001;;;3400001;42488
7700000;-3,75637E+18;3850000;47531;3850001;;;3450001;41488
7800000;-8,12599E+18;3900000;48981;3900001;;;3500001;44271
