wielkosc tablicy;looking_Value;result;czas;liczba operacji;;;;;;;
2000000;0;False;529;20;;;;;;;
2100000;0;False;3;21;;;;;;;
2200000;0;False;2;21;;;;;;Etykiety wierszy;Suma z czas
2300000;0;False;3;21;;;;;;20;529
2400000;0;False;3;21;;;;;;21;59
2500000;0;False;3;21;;;;;;22;152
2600000;0;False;4;21;;;;;;23;431
2700000;0;False;3;21;;;;;;24;761
2800000;0;False;4;21;;;;;;25;1886
2900000;0;False;3;21;;;;;;26;4688
3000000;0;False;2;21;;;;;;27;389
3100000;0;False;2;21;;;;;;Suma koñcowa;8895
3200000;0;False;2;21;;;;;;;
3300000;0;False;2;21;;;;;;;
3400000;0;False;3;21;;;;;;;
3500000;0;False;3;21;;;;;;;
3600000;0;False;3;21;;;;;;;
3700000;0;False;2;21;;;;;;;
3800000;0;False;2;21;;;;;;;
3900000;0;False;3;21;;;;;;;
4000000;0;False;3;21;;;;;;;
4100000;0;False;4;21;;;;;;;
4200000;0;False;3;22;;;;;;;
4300000;0;False;3;22;;;;;;;
4400000;0;False;3;22;;;;;;;
4500000;0;False;3;22;;;;;;;
4600000;0;False;4;22;;;;;;;
4700000;0;False;5;22;;;;;;;
4800000;0;False;3;22;;;;;;;
4900000;0;False;4;22;;;;;;;
5000000;0;False;3;22;;;;;;;
5100000;0;False;3;22;;;;;;;
5200000;0;False;3;22;;;;;;;
5300000;0;False;3;22;;;;;;;
5400000;0;False;3;22;;;;;;;
5500000;0;False;3;22;;;;;;;
5600000;0;False;4;22;;;;;;;
5700000;0;False;4;22;;;;;;;
5800000;0;False;4;22;;;;;;;
5900000;0;False;3;22;;;;;;;
6000000;0;False;3;22;;;;;;;
6100000;0;False;3;22;;;;;;;
6200000;0;False;3;22;;;;;;;
6300000;0;False;3;22;;;;;;;
6400000;0;False;5;22;;;;;;;
6500000;0;False;6;22;;;;;;;
6600000;0;False;4;22;;;;;;;
6700000;0;False;3;22;;;;;;;
6800000;0;False;4;22;;;;;;;
