wielkosc tablicy;looking_Value;result;czas;liczba operacji;;;;
2000000;1000000;True;527;1;;;;
2100000;1050000;True;2;1;;;;
2200000;1100000;True;2;1;;;;
2300000;1150000;True;0;1;;;;
2400000;1200000;True;2;1;;;Etykiety wierszy;Suma z liczba operacji
2500000;1250000;True;1;1;;;0;72
2600000;1300000;True;3;1;;;1;262
2700000;1350000;True;1;1;;;2;437
2800000;1400000;True;1;1;;;3;251
2900000;1450000;True;0;1;;;4;63
3000000;1500000;True;1;1;;;5;4
3100000;1550000;True;0;1;;;7;1
3200000;1600000;True;1;1;;;48;1
3300000;1650000;True;1;1;;;50;1
3400000;1700000;True;1;1;;;527;1
3500000;1750000;True;1;1;;;Suma koñcowa;1093
3600000;1800000;True;1;1;;;;
3700000;1850000;True;1;1;;;;
3800000;1900000;True;1;1;;;;
3900000;1950000;True;1;1;;;;
4000000;2000000;True;0;1;;;;
4100000;2050000;True;1;1;;;;
4200000;2100000;True;0;1;;;;
4300000;2150000;True;0;1;;;;
4400000;2200000;True;1;1;;;;
4500000;2250000;True;1;1;;;;
4600000;2300000;True;0;1;;;;
4700000;2350000;True;1;1;;;;
4800000;2400000;True;1;1;;;;
4900000;2450000;True;1;1;;;;
5000000;2500000;True;0;1;;;;
5100000;2550000;True;1;1;;;;
5200000;2600000;True;0;1;;;;
5300000;2650000;True;1;1;;;;
5400000;2700000;True;2;1;;;;
5500000;2750000;True;1;1;;;;
5600000;2800000;True;1;1;;;;
5700000;2850000;True;3;1;;;;
5800000;2900000;True;3;1;;;;
5900000;2950000;True;0;1;;;;
6000000;3000000;True;2;1;;;;
6100000;3050000;True;1;1;;;;
6200000;3100000;True;0;1;;;;
6300000;3150000;True;1;1;;;;
6400000;3200000;True;1;1;;;;
6500000;3250000;True;0;1;;;;
6600000;3300000;True;1;1;;;;
6700000;3350000;True;1;1;;;;
6800000;3400000;True;1;1;;;;
6900000;3450000;True;2;1;;;;
7000000;3500000;True;2;1;;;;
7100000;3550000;True;3;1;;;;
7200000;3600000;True;3;1;;;;
7300000;3650000;True;1;1;;;;
7400000;3700000;True;2;1;;;;
7500000;3750000;True;2;1;;;;
7600000;3800000;True;1;1;;;;
7700000;3850000;True;4;1;;;;
7800000;3900000;True;2;1;;;;
7900000;3950000;True;2;1;;;;
8000000;4000000;True;1;1;;;;
8100000;4050000;True;3;1;;;;
8200000;4100000;True;1;1;;;;
8300000;4150000;True;3;1;;;;
8400000;4200000;True;2;1;;;;
8500000;4250000;True;2;1;;;;
8600000;4300000;True;1;1;;;;
8700000;4350000;True;2;1;;;;
8800000;4400000;True;1;1;;;;
8900000;4450000;True;2;1;;;;
9000000;4500000;True;2;1;;;;
9100000;4550000;True;1;1;;;;
9200000;4600000;True;1;1;;;;
9300000;4650000;True;2;1;;;;
9400000;4700000;True;2;1;;;;
9500000;4750000;True;2;1;;;;
9600000;4800000;True;2;1;;;;
9700000;4850000;True;3;1;;;;
9800000;4900000;True;3;1;;;;
9900000;4950000;True;2;1;;;;
10000000;5000000;True;2;1;;;;
10100000;5050000;True;3;1;;;;
10200000;5100000;True;3;1;;;;
10300000;5150000;True;1;1;;;;
10400000;5200000;True;2;1;;;;
10500000;5250000;True;50;1;;;;
10600000;5300000;True;3;1;;;;
10700000;5350000;True;2;1;;;;
10800000;5400000;True;1;1;;;;
10900000;5450000;True;2;1;;;;
11000000;5500000;True;3;1;;;;
11100000;5550000;True;1;1;;;;
11200000;5600000;True;0;1;;;;
11300000;5650000;True;0;1;;;;
11400000;5700000;True;3;1;;;;
11500000;5750000;True;2;1;;;;
11600000;5800000;True;3;1;;;;
11700000;5850000;True;2;1;;;;
11800000;5900000;True;3;1;;;;
11900000;5950000;True;2;1;;;;
12000000;6000000;True;3;1;;;;
12100000;6050000;True;2;1;;;;
12200000;6100000;True;2;1;;;;
12300000;6150000;True;2;1;;;;
12400000;6200000;True;3;1;;;;
12500000;6250000;True;2;1;;;;
12600000;6300000;True;3;1;;;;
12700000;6350000;True;3;1;;;;
12800000;6400000;True;2;1;;;;
12900000;6450000;True;2;1;;;;
13000000;6500000;True;3;1;;;;
13100000;6550000;True;3;1;;;;
13200000;6600000;True;0;1;;;;
13300000;6650000;True;2;1;;;;
13400000;6700000;True;2;1;;;;
13500000;6750000;True;2;1;;;;
13600000;6800000;True;2;1;;;;
13700000;6850000;True;4;1;;;;
13800000;6900000;True;2;1;;;;
13900000;6950000;True;2;1;;;;
14000000;7000000;True;3;1;;;;
14100000;7050000;True;2;1;;;;
